[2026-07-10 12:16:24] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:16:24] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:16:57] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:16:57] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:17:11] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:17:11] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:17:35] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:17:35] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:18:01] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:18:01] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:18:09] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:18:09] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:18:46] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:18:46] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:18:52] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:18:52] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:19:19] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:19:19] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:19:44] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:19:44] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:19:57] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:19:58] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:20:28] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:20:28] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:20:33] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:20:34] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:21:08] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:21:08] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:21:22] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:21:22] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
