[2026-07-10 12:12:22] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:12:22] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:12:49] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:12:49] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:13:13] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:13:13] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:13:25] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:13:26] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:14:00] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:14:00] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:14:03] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:14:03] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:14:36] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:14:36] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:14:53] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:14:54] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:15:12] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:15:12] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:15:43] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:15:43] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:15:51] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:15:51] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:16:29] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:16:30] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:16:30] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:16:30] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:17:06] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:17:06] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:17:16] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:17:17] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:17:44] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:17:44] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:18:07] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:18:07] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:18:18] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:18:18] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:18:54] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:18:55] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:18:58] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:18:58] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:19:27] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:19:27] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:19:50] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:19:50] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:20:06] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:20:06] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:20:36] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:20:36] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:20:39] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:20:40] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:21:16] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:21:16] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:21:28] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:21:28] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:21:44] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:21:44] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:26:58] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:26:58] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:27:19] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:27:19] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:27:20] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:27:20] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:27:55] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:27:55] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:28:28] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:28:29] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:29:20] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:29:20] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:29:21] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:29:21] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:29:56] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:29:56] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:30:25] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:30:25] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:30:42] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:30:42] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
