[2026-07-10 12:02:07] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:02:07] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:02:38] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:02:38] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:02:38] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:02:55] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:02:55] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:02:55] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:03:17] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:03:17] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:03:17] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:03:44] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:03:44] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:03:44] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:03:46] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:03:46] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:03:46] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:04:27] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:04:27] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:04:27] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:04:32] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:04:32] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:04:32] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:04:58] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:04:58] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:04:58] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:05:28] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:05:28] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:05:28] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:05:41] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:05:41] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:05:41] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:06:10] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:06:10] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:06:10] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:06:23] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:06:23] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:06:23] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
