NAME,WAIT_CLASS
Streams AQ: qmn slave idle wait,Idle
AQ: 12c message cache init wait,Idle
AQ Cross Master idle,Idle
AQPC idle,Idle
Streams AQ: load balancer idle,Idle
Sharded Queues : Part Maintenance idle,Idle
Sharded Queues : Part Truncate idle,Idle
REPL Capture/Apply: RAC AQ qmn coordinator,Idle
Streams AQ: opt idle,Idle
HS message to agent,Idle
VKTM Logical Idle Wait,Idle
VKTM Init Wait for GSGA,Idle
IORM Scheduler Slave Idle Wait,Idle
rdbms ipc message,Idle
i/o slave wait,Idle
OFS Receive Queue,Idle
OFS idle,Idle
VKRM Idle,Idle
wait for unread message on broadcast channel,Idle
wait for unread message on multiple broadcast channels,Idle
class slave wait,Idle
RMA: IPC0 completion sync,Idle
PING,Idle
watchdog main loop,Idle
process in prespawned state,Idle
pmon timer,Idle
pman timer,Idle
DNFS disp IO slave idle,Idle
DIAG idle wait,Idle
ges remote message,Idle
SCM slave idle,Idle
LMS CR slave timer,Idle
gcs remote message,Idle
gcs yield cpu,Idle
heartbeat monitor sleep,Idle
GCR sleep,Idle
SGA: MMAN sleep for component shrink,Idle
DBWR timer,Idle
Data Guard: Gap Manager,Idle
Data Guard: controlfile update,Idle
MRP redo arrival,Idle
Data Guard: Timer,Idle
LNS ASYNC archive log,Idle
LNS ASYNC dest activation,Idle
LNS ASYNC end of log,Idle
simulated log write delay,Idle
heartbeat redo informer,Idle
LGWR real time apply sync,Idle
LGWR worker group idle,Idle
parallel recovery slave idle wait,Idle
Backup Appliance waiting for work,Idle
Backup Appliance waiting restore start,Idle
Backup Appliance Surrogate wait,Idle
Backup Appliance Servlet wait,Idle
Backup Appliance Comm SGA setup wait,Idle
LogMiner builder: idle,Idle
LogMiner builder: branch,Idle
LogMiner preparer: idle,Idle
LogMiner reader: log (idle),Idle
LogMiner reader: redo (idle),Idle
LogMiner merger: idle,Idle
LogMiner client: transaction,Idle
LogMiner: other,Idle
LogMiner: activate,Idle
LogMiner: reset,Idle
LogMiner: find session,Idle
LogMiner: internal,Idle
Logical Standby Apply Delay,Idle
parallel recovery coordinator waits for slave cleanup,Idle
parallel recovery coordinator idle wait,Idle
parallel recovery control message reply,Idle
parallel recovery slave next change,Idle
nologging fetch slave idle,Idle
recovery sender idle,Idle
remote db operation,Network
ASM remote SQL,Network
remote db file write,Network
IPC group service call,Network
Data Guard network buffer stall reap,Network
ARCH wait for net re-connect,Network
ARCH wait for netserver start,Network
LNS wait on LGWR,Network
LGWR wait on LNS,Network
ARCH wait for netserver init 2,Network
ARCH wait for flow-control,Network
ARCH wait for netserver detach,Network
TCP Socket (KGAS),Network
virtual circuit wait,Network
dispatcher listen timer,Network
dedicated server timer,Network
connection broker handoff,Network
SQL*Net message to client,Network
SQL*Net message to dblink,Network
SQL*Net more data to client,Network
SQL*Net more data to dblink,Network
SQL*Net more data from client,Network
SQL*Net message from dblink,Network
SQL*Net more data from dblink,Network
SQL*Net vector data to client,Network
SQL*Net vector data from client,Network
SQL*Net vector data to dblink,Network
SQL*Net vector data from dblink,Network
TEXT: URL_DATASTORE network wait,Network
remote db file read,Network
null event,Other
events in waitclass Other,Other
enq: WM - WLM Plan activation,Other
latch free,Other
latch activity,Other
wait list latch free,Other
kslwait unit test event 1,Other
kslwait unit test event 2,Other
kslwait unit test event 3,Other
unspecified wait event,Other
global enqueue expand wait,Other
free process state object,Other
inactive session,Other
process terminate,Other
latch: call allocation,Other
latch: session allocation,Other
check CPU wait times,Other
ADG switchover completion,Other
process allocation slot,Other
session allocation inc count,Other
enq: CI - contention,Other
enq: PR - contention,Other
enq: AK - contention,Other
enq: XK - contention,Other
enq: DI - contention,Other
enq: RM - contention,Other
enq: BO - contention,Other
ges resource enqueue open retry sleep,Other
ksim generic wait event,Other
enq: DE - Update Draining Test,Other
debugger command,Other
oradebug request slot,Other
oradebug request completion,Other
latch: ksm sga alloc latch,Other
defer SGA allocation slave,Other
SGA Allocator termination,Other
PGA memory operation,Other
enq: PE - contention,Other
enq: PG - contention,Other
ksbsrv,Other
ksbcic,Other
process startup,Other
process shutdown,Other
prior spawner clean up,Other
latch: messages,Other
rdbms ipc message block,Other
rdbms ipc reply,Other
latch: pdb enqueue hash chains,Other
latch: enqueue hash chains,Other
imm op,Other
slave exit,Other
enq: FP - global fob contention,Other
enq: RE - block repair contention,Other
enq: BM - clonedb bitmap file write,Other
asynch descriptor resize,Other
OFS interrupted req not found,Other
enq: FO - file system operation contention,Other
resmgr:plan change,Other
enq: KM - contention,Other
enq: KT - contention,Other
enq: CA - contention,Other
enq: KD - determine DBRM master,Other
reliable message,Other
broadcast mesg queue transition,Other
broadcast mesg recovery queue transition,Other
KSV master wait,Other
master exit,Other
ksv slave avail wait,Other
enq: PV - syncstart,Other
enq: PV - syncshut,Other
enq: SP - contention 1,Other
enq: SP - contention 2,Other
enq: SP - contention 3,Other
enq: SP - contention 4,Other
