[2026-07-10 12:29:10] INFO     | foreground_wait_events | ✅ Parsed 19 Foreground Wait Event records.
[2026-07-10 12:29:10] INFO     | foreground_wait_events | ✅ Inserted 19 rows into awr_foreground_wait_events
[2026-07-10 12:29:11] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:29:11] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:29:51] INFO     | foreground_wait_events | ✅ Parsed 56 Foreground Wait Event records.
[2026-07-10 12:29:51] INFO     | foreground_wait_events | ✅ Inserted 56 rows into awr_foreground_wait_events
[2026-07-10 12:30:16] INFO     | foreground_wait_events | ✅ Parsed 37 Foreground Wait Event records.
[2026-07-10 12:30:16] INFO     | foreground_wait_events | ✅ Inserted 37 rows into awr_foreground_wait_events
[2026-07-10 12:30:35] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:30:35] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:30:36] INFO     | foreground_wait_events | ✅ Parsed 19 Foreground Wait Event records.
[2026-07-10 12:30:36] INFO     | foreground_wait_events | ✅ Inserted 19 rows into awr_foreground_wait_events
[2026-07-10 12:30:43] INFO     | foreground_wait_events | ✅ Parsed 38 Foreground Wait Event records.
[2026-07-10 12:30:43] INFO     | foreground_wait_events | ✅ Inserted 38 rows into awr_foreground_wait_events
[2026-07-10 12:31:37] INFO     | foreground_wait_events | ✅ Parsed 38 Foreground Wait Event records.
[2026-07-10 12:31:37] INFO     | foreground_wait_events | ✅ Inserted 38 rows into awr_foreground_wait_events
[2026-07-10 12:31:51] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:31:51] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:31:52] INFO     | foreground_wait_events | ✅ Parsed 24 Foreground Wait Event records.
[2026-07-10 12:31:52] INFO     | foreground_wait_events | ✅ Inserted 24 rows into awr_foreground_wait_events
[2026-07-10 12:32:01] INFO     | foreground_wait_events | ✅ Parsed 37 Foreground Wait Event records.
[2026-07-10 12:32:01] INFO     | foreground_wait_events | ✅ Inserted 37 rows into awr_foreground_wait_events
[2026-07-10 12:32:29] INFO     | foreground_wait_events | ✅ Parsed 38 Foreground Wait Event records.
[2026-07-10 12:32:29] INFO     | foreground_wait_events | ✅ Inserted 38 rows into awr_foreground_wait_events
[2026-07-10 12:33:02] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:33:02] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:33:04] INFO     | foreground_wait_events | ✅ Parsed 24 Foreground Wait Event records.
