[2026-07-10 12:09:50] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:09:50] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:10:25] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:10:25] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:10:31] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-10 12:10:31] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-10 12:11:05] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:11:05] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:11:29] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-10 12:11:29] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-10 12:11:40] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:11:40] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:12:16] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:12:16] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:12:24] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-10 12:12:24] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-10 12:12:51] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:12:51] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:13:15] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 9 IOStat by Filetype summary records.
[2026-07-10 12:13:15] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 9 rows into awr_iostat_filetype
[2026-07-10 12:13:28] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:13:28] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:14:02] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:14:02] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
