[2026-07-10 12:02:28] INFO     | awr_seg_direct_phy_reads_parser | Found 3 rows in Segments by Direct Physical Reads section
[2026-07-10 12:02:28] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 3 Segments by Direct Physical Reads records
[2026-07-10 12:02:28] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 3 rows into awr_seg_direct_phy_reads
[2026-07-10 12:02:36] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:02:36] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:02:36] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:03:06] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:03:06] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:03:06] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:03:15] INFO     | awr_seg_direct_phy_reads_parser | Found 3 rows in Segments by Direct Physical Reads section
[2026-07-10 12:03:15] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 3 Segments by Direct Physical Reads records
[2026-07-10 12:03:15] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 3 rows into awr_seg_direct_phy_reads
[2026-07-10 12:03:47] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:03:47] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:03:47] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:04:04] INFO     | awr_seg_direct_phy_reads_parser | Found 3 rows in Segments by Direct Physical Reads section
[2026-07-10 12:04:04] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 3 Segments by Direct Physical Reads records
[2026-07-10 12:04:04] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 3 rows into awr_seg_direct_phy_reads
[2026-07-10 12:04:16] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:04:16] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:04:16] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:04:55] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:04:55] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:04:55] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:04:58] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:04:58] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:04:58] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:05:28] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:05:28] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:05:29] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:05:51] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:05:51] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:05:51] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:06:10] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:06:11] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:06:11] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:06:41] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:06:41] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:06:41] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:06:45] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:06:45] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:06:45] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:07:18] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:07:18] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:07:19] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:07:51] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:07:51] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:07:51] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:08:29] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:08:29] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:08:29] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:09:02] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:09:02] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:09:02] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
