[2026-07-10 12:07:02] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:07:02] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:07:24] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 12:07:24] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 12:07:32] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:07:32] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:08:10] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:08:11] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:08:44] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:08:44] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:09:20] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:09:20] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:09:55] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:09:55] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:10:30] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:10:30] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:10:35] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 12:10:35] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 12:11:09] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:11:10] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:11:33] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 12:11:33] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 12:11:45] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:11:45] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
