[2026-07-10 12:11:31] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:11:43] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:11:43] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:12:18] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 12:12:18] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 12:12:25] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:12:26] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:12:53] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:12:53] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:13:17] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:13:17] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:13:30] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 12:13:30] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 12:14:04] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:14:05] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:14:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:14:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:14:41] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 12:14:41] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 12:14:57] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:14:57] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:15:17] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 12:15:17] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 12:15:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 12:15:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 12:15:56] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 12:15:56] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 12:16:33] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 12:16:33] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
