[2026-07-10 12:13:50] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:13:50] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:14:19] INFO     | background_wait_events_parser | ✅ Parsed 133 Background Wait Event records.
[2026-07-10 12:14:19] INFO     | background_wait_events_parser | ✅ Inserted 133 rows into awr_background_wait_events
[2026-07-10 12:14:41] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:14:41] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:14:54] INFO     | background_wait_events_parser | ✅ Parsed 52 Background Wait Event records.
[2026-07-10 12:14:54] INFO     | background_wait_events_parser | ✅ Inserted 52 rows into awr_background_wait_events
[2026-07-10 12:15:31] INFO     | background_wait_events_parser | ✅ Parsed 51 Background Wait Event records.
[2026-07-10 12:15:31] INFO     | background_wait_events_parser | ✅ Inserted 51 rows into awr_background_wait_events
[2026-07-10 12:15:33] INFO     | background_wait_events_parser | ✅ Parsed 141 Background Wait Event records.
[2026-07-10 12:15:33] INFO     | background_wait_events_parser | ✅ Inserted 141 rows into awr_background_wait_events
[2026-07-10 12:16:12] INFO     | background_wait_events_parser | ✅ Parsed 52 Background Wait Event records.
[2026-07-10 12:16:12] INFO     | background_wait_events_parser | ✅ Inserted 52 rows into awr_background_wait_events
[2026-07-10 12:16:18] INFO     | background_wait_events_parser | ✅ Parsed 51 Background Wait Event records.
[2026-07-10 12:16:18] INFO     | background_wait_events_parser | ✅ Inserted 51 rows into awr_background_wait_events
[2026-07-10 12:16:48] INFO     | background_wait_events_parser | ✅ Parsed 141 Background Wait Event records.
[2026-07-10 12:16:48] INFO     | background_wait_events_parser | ✅ Inserted 141 rows into awr_background_wait_events
[2026-07-10 12:17:05] INFO     | background_wait_events_parser | ✅ Parsed 51 Background Wait Event records.
[2026-07-10 12:17:05] INFO     | background_wait_events_parser | ✅ Inserted 51 rows into awr_background_wait_events
[2026-07-10 12:17:26] INFO     | background_wait_events_parser | ✅ Parsed 52 Background Wait Event records.
[2026-07-10 12:17:26] INFO     | background_wait_events_parser | ✅ Inserted 52 rows into awr_background_wait_events
[2026-07-10 12:17:54] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
