[2026-07-10 12:03:39] INFO     | enqueue_wait_statistics_parser | Found 59 rows in Enqueue Activity section
[2026-07-10 12:03:39] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 59 Enqueue Activity records
[2026-07-10 12:03:39] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 59 rows into awr_enqueue_statistics
[2026-07-10 12:04:20] INFO     | enqueue_wait_statistics_parser | Found 42 rows in Enqueue Activity section
[2026-07-10 12:04:20] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 42 Enqueue Activity records
[2026-07-10 12:04:21] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 42 rows into awr_enqueue_statistics
[2026-07-10 12:04:27] INFO     | enqueue_wait_statistics_parser | Found 45 rows in Enqueue Activity section
[2026-07-10 12:04:27] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 45 Enqueue Activity records
[2026-07-10 12:04:27] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 45 rows into awr_enqueue_statistics
[2026-07-10 12:04:50] INFO     | enqueue_wait_statistics_parser | Found 58 rows in Enqueue Activity section
[2026-07-10 12:04:50] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 58 Enqueue Activity records
[2026-07-10 12:04:50] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 58 rows into awr_enqueue_statistics
[2026-07-10 12:05:22] INFO     | enqueue_wait_statistics_parser | Found 61 rows in Enqueue Activity section
[2026-07-10 12:05:22] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 61 Enqueue Activity records
[2026-07-10 12:05:22] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 61 rows into awr_enqueue_statistics
[2026-07-10 12:05:33] INFO     | enqueue_wait_statistics_parser | Found 42 rows in Enqueue Activity section
[2026-07-10 12:05:33] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 42 Enqueue Activity records
[2026-07-10 12:05:33] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 42 rows into awr_enqueue_statistics
[2026-07-10 12:06:03] INFO     | enqueue_wait_statistics_parser | Found 58 rows in Enqueue Activity section
[2026-07-10 12:06:03] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 58 Enqueue Activity records
[2026-07-10 12:06:03] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 58 rows into awr_enqueue_statistics
[2026-07-10 12:06:17] INFO     | enqueue_wait_statistics_parser | Found 61 rows in Enqueue Activity section
[2026-07-10 12:06:17] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 61 Enqueue Activity records
[2026-07-10 12:06:17] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 61 rows into awr_enqueue_statistics
[2026-07-10 12:06:44] INFO     | enqueue_wait_statistics_parser | Found 42 rows in Enqueue Activity section
[2026-07-10 12:06:44] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 42 Enqueue Activity records
[2026-07-10 12:06:45] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 42 rows into awr_enqueue_statistics
[2026-07-10 12:07:12] INFO     | enqueue_wait_statistics_parser | Found 61 rows in Enqueue Activity section
[2026-07-10 12:07:12] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 61 Enqueue Activity records
[2026-07-10 12:07:12] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 61 rows into awr_enqueue_statistics
[2026-07-10 12:07:16] INFO     | enqueue_wait_statistics_parser | Found 58 rows in Enqueue Activity section
[2026-07-10 12:07:16] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 58 Enqueue Activity records
[2026-07-10 12:07:16] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 58 rows into awr_enqueue_statistics
[2026-07-10 12:07:52] INFO     | enqueue_wait_statistics_parser | Found 41 rows in Enqueue Activity section
[2026-07-10 12:07:52] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 41 Enqueue Activity records
[2026-07-10 12:07:52] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 41 rows into awr_enqueue_statistics
[2026-07-10 12:08:26] INFO     | enqueue_wait_statistics_parser | Found 58 rows in Enqueue Activity section
[2026-07-10 12:08:26] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 58 Enqueue Activity records
[2026-07-10 12:08:26] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 58 rows into awr_enqueue_statistics
[2026-07-10 12:09:02] INFO     | enqueue_wait_statistics_parser | Found 41 rows in Enqueue Activity section
[2026-07-10 12:09:02] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 41 Enqueue Activity records
[2026-07-10 12:09:02] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 41 rows into awr_enqueue_statistics
[2026-07-10 12:09:37] INFO     | enqueue_wait_statistics_parser | Found 58 rows in Enqueue Activity section
[2026-07-10 12:09:37] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 58 Enqueue Activity records
[2026-07-10 12:09:37] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 58 rows into awr_enqueue_statistics
[2026-07-10 12:10:12] INFO     | enqueue_wait_statistics_parser | Found 41 rows in Enqueue Activity section
[2026-07-10 12:10:12] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 41 Enqueue Activity records
[2026-07-10 12:10:12] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 41 rows into awr_enqueue_statistics
[2026-07-10 12:10:21] INFO     | enqueue_wait_statistics_parser | Found 61 rows in Enqueue Activity section
[2026-07-10 12:10:21] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 61 Enqueue Activity records
[2026-07-10 12:10:21] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 61 rows into awr_enqueue_statistics
[2026-07-10 12:10:48] INFO     | enqueue_wait_statistics_parser | Found 58 rows in Enqueue Activity section
[2026-07-10 12:10:48] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 58 Enqueue Activity records
