[2026-07-03 12:51:10] INFO     | recommendation_engine | Recommendations complete: 7 findings (critical=1, high=6)
[2026-07-03 12:51:10] INFO     | recommendation_engine | Stored 7 recommendations to DB
[2026-07-03 15:39:51] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:39:51] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116868-116868
[2026-07-03 15:39:51] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 15:39:51] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 15:39:51] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 15:41:40] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:41:40] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116869-116869
[2026-07-03 15:41:40] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 15:41:40] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 15:41:41] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 15:43:19] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:43:19] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116871-116871
[2026-07-03 15:43:19] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 15:43:19] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 15:43:19] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 15:45:04] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:45:04] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116872-116872
[2026-07-03 15:45:04] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 15:45:04] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 15:45:04] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 15:53:15] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:53:15] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116873-116873
[2026-07-03 15:53:15] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 15:53:15] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 15:53:15] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 15:55:04] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:55:04] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116874-116874
[2026-07-03 15:55:05] INFO     | recommendation_engine | Recommendations complete: 9 findings (critical=1, high=5)
[2026-07-03 15:55:05] INFO     | recommendation_engine | Stored 9 recommendations to DB
[2026-07-03 15:56:54] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 15:56:54] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116875-116875
[2026-07-03 15:56:54] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 15:56:54] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 15:56:55] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:07:40] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:07:40] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116876-116876
[2026-07-03 16:07:40] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:07:40] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 16:07:41] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:09:19] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:09:19] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116877-116877
[2026-07-03 16:09:19] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:09:19] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 16:09:19] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:11:03] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:11:03] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116878-116878
[2026-07-03 16:11:03] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:11:03] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 16:11:03] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:12:50] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:12:50] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116879-116879
[2026-07-03 16:12:50] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:12:50] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 16:12:50] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:19:22] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:19:22] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116880-116880
[2026-07-03 16:19:22] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:19:22] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 16:19:22] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:21:11] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:21:11] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116881-116881
[2026-07-03 16:21:11] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:21:11] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 16:21:11] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 16:22:58] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:22:58] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116882-116882
[2026-07-03 16:22:58] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:22:58] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 16:22:58] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 16:24:43] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:24:43] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116883-116883
[2026-07-03 16:24:43] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:24:43] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 16:24:43] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 16:26:27] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:26:27] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116884-116884
[2026-07-03 16:26:27] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 16:26:28] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 16:26:28] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 16:28:10] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:28:10] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116885-116885
[2026-07-03 16:28:10] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 16:28:11] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 16:30:03] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:30:03] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116886-116886
[2026-07-03 16:30:03] INFO     | recommendation_engine | Recommendations complete: 6 findings (critical=1, high=4)
[2026-07-03 16:30:03] INFO     | recommendation_engine | Stored 6 recommendations to DB
[2026-07-03 16:31:52] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:31:52] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116887-116887
[2026-07-03 16:31:52] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 16:31:52] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:33:41] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:33:41] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116888-116888
[2026-07-03 16:33:41] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 16:33:41] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:35:33] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:35:33] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116889-116889
[2026-07-03 16:35:33] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 16:35:33] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:37:18] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:37:18] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116890-116890
[2026-07-03 16:37:18] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 16:37:18] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:39:06] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:39:06] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116891-116891
[2026-07-03 16:39:06] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 16:39:06] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 16:40:53] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 16:40:53] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116892-116892
[2026-07-03 16:40:53] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 16:40:53] INFO     | recommendation_engine | Stored 5 recommendations to DB
